State,District,Latitude,Longitude,District code,Households_with_Internet,Households_with_Computer,Hindus,Population,Rural_Households,Urban_Households,Married_couples_None_Households,sex_ratio,literacy_rate
Assam,Nalbari,26.46323767605632,91.40598521126763,323,1631,12360,491582,771639,210706,28238,17381,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,4358,31254,1422824,1924110,483325,64528,46075,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,5135,27948,1181347,1327929,290704,90910,36330,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2561,29796,1593525,2811569,659061,44213,46453,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2362,31168,2291133,2540073,428291,49006,27729,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,23258,69937,2545438,3701282,551789,427343,70397,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,1704,22300,1772655,2034763,425604,18492,25148,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,4644,43127,2554330,2970541,594377,139248,46964,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,6764,46929,2487866,3037766,522527,130634,41388,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,3661,34658,2518216,2728407,434559,77368,34932,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1784,19324,1591454,1706352,299252,35405,20387,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,6280,53205,3042729,3937385,907174,95539,73321,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,6856,57011,3876395,4391418,696289,111282,44524,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,3707,33596,2119262,2562012,515925,38133,36327,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1839,22414,1525746,1760405,325909,30851,24644,92.0,49.0
